Name,Label,Owner,Ownership,Proof,Shanai,Kodomo,Type,Add1,Add2,Y,X,url,TEL,FAX,Full,AgeS,AgeE,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Vacancy,VacancyDate
祝津保育所,祝津保育所,室蘭市,公立,Ｎ,Ｎ,Ｎ,認可保育所,室蘭市港南町2-4-13,,42.333509,140.953851,,24-7878,,55,,,7:30,19:30,,【保育短時間認定】7：30～8：30、16：30～19：30【保育標準時間認定】18：30～19：30,Ｙ,Ｎ,Ｎ,,,
中島保育所,中島保育所,室蘭市,公立,Ｎ,Ｎ,Ｎ,認可保育所,室蘭市中島本町2-5-3,,42.356116,141.016051,,44-3793,,120,,,7:30,19:30,,【保育短時間認定】7：30～8：30、16：30～19：30【保育標準時間認定】18：30～19：30,Ｙ,Ｙ,Ｙ,,,
常盤保育所,常盤保育所,社会福祉法人室蘭福祉事業協会,私立,Ｎ,Ｎ,Ｎ,認可保育所,室蘭市栄町2-6-16,,42.311409,140.972224,,22-3887,,120,,,7:30,19:30,,【保育短時間認定】7：30～8：30、16：30～19：30【保育標準時間認定】18：30～19：30,Ｙ,Ｙ,Ｙ,,,
みどり保育園,みどり保育園,社会福祉法人室蘭福祉事業協会,私立,Ｎ,Ｎ,Ｎ,認可保育所,室蘭市母恋北町1-16-5,,42.316822,140.993314,,22-6296,,70,,,7:30,19:30,,【保育短時間認定】7：30～8：30、16：30～19：30【保育標準時間認定】18：30～19：30,Ｙ,Ｎ,Ｎ,,,
双葉保育所,双葉保育所,社会福祉法人室蘭福祉事業協会,私立,Ｎ,Ｎ,Ｎ,認可保育所,室蘭市大沢町2-16-4,,42.330734,141.005682,,44-3612,,60,,,7:30,19:30,,【保育短時間認定】7：30～8：30、16：30～19：30【保育標準時間認定】18：30～19：30,Ｙ,Ｎ,Ｎ,,,
楽山保育園,楽山保育園,社会福祉法人室蘭福祉事業協会,私立,Ｎ,Ｎ,Ｎ,認可保育所,室蘭市宮の森町1-6-16,,42.355477,141.024389,,45-4215,,90,,,7:30,19:30,,【保育短時間認定】7：30～8：30、16：30～19：30【保育標準時間認定】18：30～19：30,Ｙ,Ｎ,Ｎ,,,
東町保育所,東町保育所,社会福祉法人室蘭福祉事業協会,私立,Ｎ,Ｎ,Ｎ,認可保育所,室蘭市寿町1-11-5,,42.34852,141.031402,,44-3413,,120,,,7:00,19:30,,【保育短時間認定】7：00～8：30、16：30～19：30【保育標準時間認定】7：00～7：30、18：30～19：30,Ｙ,Ｙ,Ｎ,,,
白鳥保育所,白鳥保育所,社会福祉法人室蘭福祉事業協会,私立,Ｎ,Ｎ,Ｎ,認可保育所,室蘭市白鳥台2-8-3,,42.377274,140.937307,,59-2570,,80,,,7:30,19:30,,【保育短時間認定】7：30～8：30、16：30～19：30【保育標準時間認定】18：30～19：30,Ｙ,Ｎ,Ｎ,,,
港北保育所,港北保育所,社会福祉法人ビハーラ室蘭,私立,Ｎ,Ｎ,Ｎ,認可保育所,室蘭市本輪西町3-33-1,,42.363671,140.98412,,55-2200,,60,,,7:30,19:30,,【保育短時間認定】7：30～8：30、16：30～19：30【保育標準時間認定】18：30～19：30,Ｙ,Ｙ,Ｎ,,,
ほくと保育園,ほくと保育園,社会福祉法人北斗文化学園福祉会,私立,Ｎ,Ｎ,Ｎ,認可保育所,室蘭市高砂町3-11-48,,42.367012,141.035615,,45-8100,,150,,,7:30,19:30,,【保育短時間認定】7：30～8：30、16：30～19：30【保育標準時間認定】18：30～19：30,Ｙ,Ｎ,Ｎ,,,
