Name,Label,Owner,Ownership,Proof,Shanai,Kodomo,Type,Add1,Add2,Y,X,url,TEL,FAX,Full,AgeS,AgeE,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Vacancy,VacancyDate,Remarks,Parking,Bus,Uniform,Smock,Lunch,Cost,Competition,Openingdate,Playground,Playroom,Pool,Sakidori_auth,Hoikuroom_auth
植草学園大学附属弁天こども園,植草学園大学附属弁天こども園,,私立,Y,N,Y,認可保育所,千葉市中央区弁天2-7-1,,35.6156494,140.1148839,,290-1789,,105,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,2,,Y,Y,Y,特定負担あり,1.06,,,,,,
亥鼻保育所,亥鼻保育所,千葉市,公立,Y,N,N,認可保育所,千葉市中央区亥鼻2-5-6,,35.6026995,140.1279533,,222-2082,,150,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,9,,N,N,N,,1.07,19690428,,,Y,,
大森保育所,大森保育所,千葉市,公立,Y,N,N,認可保育所,千葉市中央区大森町268,,35.5806263,140.1443398,,263-0266,,100,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,8,,N,N,N,,1.2,19680424,,,Y,,
生実保育所,生実保育所,千葉市,公立,Y,N,N,認可保育所,千葉市中央区生実町1940-1,,35.5608003,140.1457454,,261-3719,,170,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,10,,N,N,N,,1.01,19940330,,,Y,,
川戸保育所,川戸保育所,千葉市,公立,Y,N,N,認可保育所,千葉市中央区川戸町424-1,,35.5832983,140.1644272,,265-0570,,90,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,9,,N,N,N,,1.04,19750528,,,Y,,
白旗保育所,白旗保育所,千葉市,公立,Y,N,N,認可保育所,千葉市中央区白旗2-6-11,,35.5783264,140.1408013,,261-2916,,160,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,2,,N,N,N,,1.22,19710519,,,Y,,
新宿保育所,新宿保育所,千葉市,公立,Y,N,N,認可保育所,千葉市中央区新宿2-15-2,,35.6070787,140.1142262,,241-8574,,120,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,3,,N,N,N,,1.28,19970331,,,Y,,
神明保育所,神明保育所,千葉市,公立,Y,N,N,認可保育所,千葉市中央区神明町27-6,,35.6016075,140.116882,,242-7349,,120,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,3,,N,N,N,,1.02,19710827,,,Y,,
蘇我保育所,蘇我保育所,千葉市,公立,Y,N,N,認可保育所,千葉市中央区蘇我2-3-18,,35.5724932,140.1311081,,263-4902,,70,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,5,,N,N,N,,1.34,,,,Y,,
浜野保育所,浜野保育所,千葉市,公立,Y,N,N,認可保育所,千葉市中央区浜野町1346-5,,35.559414,140.1295059,,265-4165,,120,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,0,,N,N,N,,1.16,19740330,,,Y,,
弁天保育所,弁天保育所,千葉市,公立,Y,N,N,認可保育所,千葉市中央区弁天3-8-10,,35.6187517,140.114767,,254-4472,,90,0,5,7:00,19:00,N,,Y,Y,N,N,N,20161028,,5,,N,N,N,,1.2,19730331,,,Y,,
星久喜保育所,星久喜保育所,千葉市,公立,Y,N,N,認可保育所,千葉市中央区星久喜町1063-6,,35.5981387,140.1468625,,261-0022,,90,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,7,,N,N,N,,1.33,19890331,,,Y,,
都保育所,都保育所,千葉市,公立,Y,N,N,認可保育所,千葉市中央区都町2-26-5,,35.6121816,140.1418599,,231-4846,,120,0,5,7:00,19:00,N,,Y,N,N,N,N,20161028,,4,,N,N,N,,1.2,19750729,,,Y,,
今井保育園,今井保育園,,私立,Y,N,N,認可保育所,千葉市中央区今井2-12-7,,35.5801815,140.1289196,,261-5627,,120,0,5,7:00,20:00,N,,Y,Y,N,N,N,20161028,,9,,Y,N,N,体操服あり,1.36,,,,,,
いろは保育園,いろは保育園,,私立,Y,N,N,認可保育所,千葉市中央区問屋町１3-5,,35.60289,140.1091269,,241-2221,,40,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,2,,N,N,Y,,1,,,,,,
院内保育園,院内保育園,,私立,Y,N,N,認可保育所,千葉市中央区院内2-5-6,,35.6142337,140.1255304,,222-7234,,90,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,Y,N,体操服あり,1.17,,,,,,
キートスチャイルドケア新田町,キートスチャイルドケア新田町,,私立,Y,N,N,認可保育所,千葉市中央区新田町10-14,,35.6088004,140.1126734,,216-5516,,59,0,5,7:00,20:00,N,一時預かりは不定期利用のみ,Y,Y,N,N,Y,20161028,,0,,N,N,N,,0.64,,,,,,
寒川保育園,寒川保育園,,私立,Y,N,N,認可保育所,千葉市中央区寒川町2-120-1,,35.5953444,140.1216011,,265-6115,,90,0,5,7:00,20:00,N,,Y,Y,N,N,N,20161028,,4,,Y,N,N,体操服あり,1.14,,,,,,
慈光保育園,慈光保育園,,私立,Y,N,N,認可保育所,千葉市中央区大巌寺町457-5,,35.573788,140.1469725,,263-7965,,90,0,5,7:00,20:00,N,,Y,Y,N,N,N,20161028,,16,,Y,N,Y,体操服あり,1.08,,,,,,
そらまめ保育園新千葉駅前園,そらまめ保育園新千葉駅前園,,私立,Y,N,N,認可保育所,千葉市中央区登戸2-11-6,,35.612119,140.1082596,,238-5066,,40,0,5,7:00,20:00,N,,Y,N,N,N,Y,20161028,,2,,N,N,Y,,0.75,,,,,,
千葉寺保育園,千葉寺保育園,,私立,Y,N,N,認可保育所,千葉市中央区末広4-17-3,,35.5903253,140.1309084,,264-7952,,159,0,5,7:00,20:00,N,,Y,Y,Y,N,Y,20161028,,5,,N,Y,N,体操服あり,1.09,,,,,,
千葉みなとのぞみ保育園,千葉みなとのぞみ保育園,,私立,Y,N,N,認可保育所,千葉市中央区中央港1-22-7 2F,,35.6052669,140.1027598,,246-7827,,30,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,0,,N,N,Y,,1.1,,,,,,
畠山学園附属はまの,畠山学園附属はまの,,私立,Y,N,N,認可保育所,千葉市中央区浜野町663-1,,35.5565199,140.130842,,265-5771,,59,0,5,7:00,20:00,N,,Y,N,N,N,N,20161028,,,,,,,,1.15,,,,,,
